link,title
/wiki/Lions_Gate_Entertainment,Lionsgate Films
#cite_note-90,90
/wiki/2010_no_cinema,2010
/wiki/Shrek_para_Sempre,Shrek Forever After
/wiki/Paramount_Pictures,Paramount Pictures
#cite_note-shr4-91,91
/wiki/2014_no_cinema,2014
/wiki/X-Men:_Dias_de_Um_Futuro_Esquecido,X-Men: Days of Future Past
/wiki/20th_Century_Fox,20th Century Fox
#cite_note-92,92
/wiki/2012_no_cinema,2012
/wiki/Madagascar_3:_Europe%27s_Most_Wanted,Madagascar 3: Europe's Most Wanted
/wiki/Paramount_Pictures,Paramount Pictures
#cite_note-mad3-93,93
/wiki/2016_no_cinema,2016
/wiki/Esquadr%C3%A3o_Suicida_(filme),Suicide Squad
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-94,94
/wiki/2005_no_cinema,2005
"/wiki/The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-95,95
/wiki/2013_no_cinema,2013
/wiki/Monsters_University,Monsters University
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-um-96,96
/wiki/2003_no_cinema,2003
/wiki/The_Matrix_Reloaded,Matrix Reloaded
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-97,97
/wiki/2009_no_cinema,2009
/wiki/Up_(filme),Up
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-up-98,98
/wiki/2018_no_cinema,2018
/wiki/Deadpool_2,Deadpool 2
/wiki/20th_Century_Fox,20th Century Fox
#cite_note-99,99
/wiki/2013_no_cinema,2013
/wiki/Gravidade_(filme),Gravity
/wiki/Warner_Bros._Pictures,Warner Bros.  Pictures
#cite_note-100,100
/w/index.php?title=Lista_de_filmes_de_maior_bilheteria&veaction=edit&section=2,editar
/w/index.php?title=Lista_de_filmes_de_maior_bilheteria&action=edit&section=2,editar código-fonte
/wiki/Infla%C3%A7%C3%A3o,inflação
/wiki/1910,1910
/wiki/D%C3%A9cada_de_2000,década de 2000
#cite_note-101,101
/wiki/Moeda,moedas
/wiki/Brasil,Brasil
#cite_note-fallacyfiles-102,102
#cite_note-fallacyfiles-102,102
/wiki/Estados_Unidos,Estados Unidos
/wiki/Guiness_Records,Guiness Records
/wiki/Entertainment_Weekly,Entertainment Weekly
/wiki/Gone_with_the_Wind,...E o Vento Levou
/wiki/1939,1939
/wiki/1970_no_cinema,1970
/wiki/D%C3%B3lar_americano,dólares
#cite_note-103,103
/wiki/Cinema,cinema
/wiki/Per_capita,per capita
/wiki/VHS,VHS
/wiki/DVD,DVD
/wiki/Home_theater,home theater
/wiki/1946,1946
/wiki/2004,2004
/wiki/Televis%C3%A3o,televisão
#cite_note-waynesthisandthat-104,104
#cite_note-105,105
#cite_note-106,106
/wiki/Atualiza%C3%A7%C3%A3o_monet%C3%A1ria,(2014 $)
/wiki/Gone_with_the_Wind,Gone with the Wind
#cite_note-108,nota 1
/wiki/Avatar_(filme),Avatar
/wiki/Titanic_(1997),
#cite_note-110,nota 2
/wiki/Star_Wars_(filme),Star Wars
/wiki/The_Sound_of_Music,The Sound of Music
/wiki/E.T._the_Extra-Terrestrial,E.T. the Extra-Terrestrial
/wiki/Os_Dez_Mandamentos_(1956),The Ten Commandments
/wiki/Doutor_Jivago_(filme),Doctor Zhivago
/wiki/Tubar%C3%A3o_(filme),Jaws
#cite_note-The_Force_Awakens-111,nota 3
